,empresa,national_partner,international_partner
286,03733018-CENTRO DE FORMACAO DE CONDUTORES MARGIL LTDA,2,0
287,03733135-POSTO SIGMA LTDA,2,0
288,03733172-LEONAM E LUAN - LATICINIOS LTDA,2,0
289,03733281-A. P. COMERCIO DE ACRILICOS LTDA,2,0
290,03733576-AXEL BRASIL LTDA,0,1
291,03733648-AUTO POSTO ALELUIA LTDA,2,0
292,03733657-A C C - ASSESSORIA CONTABIL E COBRANCAS LTDA,2,0
293,03733798-CONSULTORIO MEDICO INFANTIL DR. PAULO LOPES HERCULANO LTDA,2,0
294,03733996-MINERACAO SOLITARIO DO BRASIL - LTDA,1,0
295,03734045-STEWART INTEGRATED SERVICES BRASIL LTDA,1,0
296,03734122-CONSELHO ESCOLAR JULIO RODRIGUES MARTINS,2,0
297,03734299-CENTRO DE TRADICOES GAUCHAS HERANCA DO RINCAO,1,0
298,03734302-CMG TELECOMUNICACOES LTDA.,1,0
299,03734305-ECONOGAS CONVERTEDORA LTDA,3,0
300,03734403-A M J REPRESENTACOES LTDA,2,0
301,03734521-W.L. PARTICIPACOES E SERVICOS LTDA.,1,0
302,03734674-CENTRAL DE GUINCHO,1,0
303,03735012-ARY BRASIL PARTICIPACOES LTDA,6,0
304,03735124-BETHACENTER EMPREENDIMENTOS E PARTICIPACOES LTDA,3,0
305,03735318-MIX COMERCIO REPRESENTACAO E DISTRIBUICAO DE PRODUTOS ELETRONICOS LTDA,2,0
306,03735441-INVESTEL PARTICIPACOES LTDA,1,0
307,03735811-ODONT STAR EQUIPAMENTOS LTDA,3,0
308,"03736076-V3 ESTRUTURAS ESPECIAIS, LOCACOES E EVENTOS LTDA",1,0
309,03736351-ACOM TV LTDA,1,0
310,03736457-MAJU EMPREENDIMENTOS LTDA,2,0
311,03736565-NOVO MUNDO DESENVOLVIMENTO IMOBILIARIO LTDA.,1,0
312,03736615-ALS AMBIENTAL LTDA,1,0
313,03736621-FC BRASIL CONSULTORIA E REPRESENTACOES LTDA.,2,0
314,03736638-D' HAGEN PRESENTES E ARMARINHO LTDA,2,0
315,03736852-S A T T - SERVICO DE ASSISTENCIA TECNICA TECNITALIA LTDA,1,0
316,03738141-COBAS - CONSULTORIA BRASIL-ALEMANHA DE SANEAMENTO LTDA,0,1
317,03738249-FARMACIA DE MANIPULACAO PHYTOFARMACO LTDA,2,0
318,03738295-FAST SOLUTION - SERVICOS ADMINISTRATIVOS E FINANCEIROS LTDA,1,0
319,03738296-HEXACTA.COM DO BRASIL LTDA,1,0
320,03738450-AGROKIKO LTDA,2,0
321,03738477-LOTERIA BEMOL BARROSO LTDA,3,0
322,03738483-BURKERT BRASIL LTDA,1,0
323,03738530-OSEP BRASIL LTDA.,1,0
324,03738542-HM PROMOTORA LTDA,1,0
325,03738668-TRATCOR CARDIOLOGISTAS ASSOCIADOS S/C LTDA,10,0
326,03738673-GROUP NC EMPREENDIMENTOS IMOBILIARIOS LTDA,2,0
327,03738861-GODOY E OLIVEIRA LTDA,2,0
328,03738958-DOMICILIO HOME CARE - COMERCIO E MANUTENCAO DE EQUIPAMENTOS ELETRICOS E HIDRAULICOS LTDA,2,0
329,03739460-CONSELHO ESCOLAR PROF ANA MIRANDA BRITO,1,0
330,03739835-PAVIMENTACOES SEGREDO LTDA,2,0
331,03739934-AGROPECUARIA MOINHO DE OURO LTDA,4,0
332,03739939-WAC COMERCIO E SERVICOS LTDA,2,0
333,03739974-LAVANDERIA BRILHO DO SOL LTDA,1,0
334,03740044-HALL ASSESSORIA LTDA,2,0
335,03740147-LEONARDO ANTONIO MILANI DE CAMARGO & CIA LTDA,2,0
336,03740277-FORBO PISOS LTDA.,1,0
337,03740591-PIRES & ASSOCIADOS EMPREENDIMENTOS IMOBILIARIOS LTDA,2,0
338,03740704-MANAGER ON LINE SERVICOS DE INFORMATICA LTDA,2,0
339,"03740787-CENTRO DE DERMATOLOGIA, ALERGIA E FISIOTERAPIA S/S LTDA",3,0
340,03740849-UNIVERSAL COMPRESSION LTDA,3,0
341,03740965-AUGUSTUS SEGUROS E PREVIDENCIA LTDA.,1,0
342,03740975-MONTE FARMA LTDA,3,0
343,03741206-TRINDADE COMERCIO DE EQUIPAMENTOS DE INFORMATICA LTDA,2,0
344,03741398-HALLIBY COMERCIO E INDUSTRIA LTDA,1,0
345,03741418-MAPA SERVICOS REPRESENTACOES E PARTICIPACOES LTDA,1,0
346,03741429-ENGETERRA SERVICOS LTDA,3,0
347,03741603-DOLPHIN DRILLING PERFURACAO BRASIL LTDA,1,0
348,03741785-EMPRESA DE PLANEJAMENTO E ASSISTENCIA TECNICA AGROPECUARIA DE SIMPLICIO MENDES LTDA,2,0
349,03741933-NUSA INTERNACIONAL COMERCIAL LTDA,1,0
350,03742157-ACAUA MOVEIS TUBULARES LTDA,4,0
351,03742388-MONTANHA CAFE LTDA,2,0
352,03742585-ELISEU DE ALMEIDA POINT COMESTIVEIS LTDA,1,0
353,03742747-PRYSMIAN FIBRAS OTICAS BRASIL LTDA,3,0
354,03742777-SERFORMAS LTDA,2,0
355,03742857-MACUCO INCORPORADORA E CONSTRUTORA LTDA.,4,0
356,03743097-ALEX10 MARKETING ESPORTIVO EIRELI,2,0
357,03743221-EMBRACOMP EMPRESA BRASILEIRA DE COMPOSTOS LTDA,2,0
358,03743416-PAX REAL DO BRASIL SERVICOS POSTUMOS LTDA,4,0
359,03743443-HORIZONTE EMPREENDIMENTOS IMOBILIARIOS LTDA,1,0
360,03743551-CENTRO DE FORMACAO DE VIGILANTES DO ACRE CFVA LTDA,2,0
361,03743984-DIATUR EMPRESA DIAMANTINENSE DE TURISMO LTDA,1,0
362,03744420-ANGLO FITTING LTDA.,2,1
363,03745218-MINI MAYCON LTDA,2,0
364,03745219-SIM INCENTIVE MARKETING LTDA.,2,0
365,03745607-UPSIGHT LTDA,3,0
366,03745955-ELLENCO EMPREENDIMENTOS IMOBILIARIOS LTDA,4,0
367,03746039-RADIO E TELEVISAO GRAN DOURADOS LTDA,3,0
368,03746223-ALTO GRANDE TRANSPORTES E TURISMO EIRELI,1,0
369,03746374-MAGMA ADMINISTRACAO DE BENS LTDA,5,0
370,03746398-STERLIX AMBIENTAL TRATAMENTO DE RESIDUOS LTDA,2,0
